Date,Country,Count,Area_km2,CoverageFraction
2018-11-13,India,2,3150744.48103565,0.04430535
2018-11-13,Kazakhstan,5,2714265.36194973,0.12857515
2018-11-13,Kyrgyzstan,6,198990.02556716,2.10455009
2018-11-13,Mexico,19,1957845.07873307,0.67735229
2018-11-13,Nepal,8,147105.82005225,3.79576622
2018-11-13,United States,40,9464215.58286383,0.29499503
2018-11-14,Mexico,1,1957845.07873307,0.03565012
2018-11-14,United States,38,9464215.58286383,0.28024527
2018-11-15,Canada,8,9945627.56173987,0.05614319
2018-11-15,United States,51,9464215.58286383,0.37611866
2018-11-16,Austria,2,83993.19562862,1.66197779
2018-11-16,China,28,9375215.38301177,0.20845682
2018-11-16,Denmark,3,42695.87180274,4.90427364
2018-11-16,Germany,25,357673.53753233,4.87856981
2018-11-16,Italy,29,301184.48544304,6.72054860
2018-11-16,Malaysia,5,327884.63949572,1.06435930
2018-11-16,Mexico,13,1957845.07873307,0.46345157
2018-11-16,Philippines,18,293290.68495643,4.28364587
2018-11-16,Viet Nam,8,328891.93520732,1.69775918
2018-11-18,China,9,9375215.38301177,0.06700398
2018-11-18,Lao People's Democratic Republic,2,228113.97375204,0.61195210
2018-11-19,India,7,3150744.48103565,0.15506871
2018-11-19,Myanmar,27,663159.44731143,2.84174516
2018-11-20,United States,31,9464215.58286383,0.22862114
2018-11-23,China,36,9375215.38301177,0.26801591
2018-11-24,China,39,9375215.38301177,0.29035057
2018-11-24,Hong Kong,2,9375215.38301177,0.01488977
2018-11-26,India,47,3150744.48103565,1.04117564
2018-11-27,India,2,3150744.48103565,0.04430535
2018-11-27,Myanmar,19,663159.44731143,1.99974659
2018-11-27,Thailand,12,514453.47272728,1.62807523
2018-12-07,Brunei Darussalam,6,5716.63435283,73.25717395
2018-12-07,China,2,9375215.38301177,0.01488977
2018-12-07,Malaysia,5,327884.63949572,1.06435930
2018-12-07,Viet Nam,25,328891.93520732,5.30549744
2018-12-12,Cambodia,9,181059.66369856,3.46944594
2018-12-12,China,19,9375215.38301177,0.14145284
2018-12-12,Lao People's Democratic Republic,7,228113.97375204,2.14183236
2018-12-12,Thailand,12,514453.47272728,1.62807523
2018-12-12,Viet Nam,9,328891.93520732,1.90997908
2018-12-17,India,48,3150744.48103565,1.06332831
2018-12-17,Sri Lanka,8,66291.14518003,8.42313557
2019-01-25,China,28,9375215.38301177,0.20845682
2019-01-25,Japan,13,373506.74128256,2.42931724
2019-01-25,"Korea, Democratic People's Republic of",11,122379.34624896,6.27370194
2019-01-25,"Korea, Republic of",2,98543.93686318,1.41657448
2019-01-25,Russian Federation,5,16980189.53670734,0.02055260
2019-01-26,China,59,9375215.38301177,0.43924829
2019-01-27,China,45,9375215.38301177,0.33501988
2019-01-29,China,57,9375215.38301177,0.42435852
2019-01-29,Hong Kong,2,9375215.38301177,0.01488977
2019-02-05,China,59,9375215.38301177,0.43924829
2019-02-07,China,54,9375215.38301177,0.40202386
2019-02-07,Viet Nam,5,328891.93520732,1.06109949
2019-02-08,Cambodia,10,181059.66369856,3.85493994
2019-02-08,China,17,9375215.38301177,0.12656307
2019-02-08,Lao People's Democratic Republic,8,228113.97375204,2.44780841
2019-02-08,Thailand,16,514453.47272728,2.17076697
2019-02-08,Viet Nam,8,328891.93520732,1.69775918
2019-02-15,China,59,9375215.38301177,0.43924829
2019-02-17,China,4,9375215.38301177,0.02977955
2019-02-17,India,7,3150744.48103565,0.15506871
2019-02-17,Myanmar,19,663159.44731143,1.99974659
2019-02-17,Thailand,28,514453.47272728,3.79884220
2019-02-19,China,41,9375215.38301177,0.30524034
2019-02-19,India,14,3150744.48103565,0.31013742
2019-02-19,Nepal,4,147105.82005225,1.89788311
2019-02-20,Cambodia,5,181059.66369856,1.92746997
2019-02-20,China,15,9375215.38301177,0.11167329
2019-02-20,Lao People's Democratic Republic,12,228113.97375204,3.67171261
2019-02-20,Thailand,8,514453.47272728,1.08538348
2019-02-20,Viet Nam,19,328891.93520732,4.03217806
2019-03-01,China,59,9375215.38301177,0.43924829
2019-03-03,China,58,9375215.38301177,0.43180341
2019-03-09,China,31,9375215.38301177,0.23079148
2019-03-09,Mongolia,3,1564663.96587071,0.13382569
2019-03-09,Russian Federation,15,16980189.53670734,0.06165780
2019-03-11,China,59,9375215.38301177,0.43924829
2019-03-13,China,55,9375215.38301177,0.40946875
2019-03-13,Lao People's Democratic Republic,1,228113.97375204,0.30597605
2019-03-13,Viet Nam,2,328891.93520732,0.42443980
2019-03-17,China,44,9375215.38301177,0.32757500
2019-03-17,Russian Federation,15,16980189.53670734,0.06165780
2019-03-27,Bangladesh,2,136903.70734661,1.01965702
2019-03-27,Bhutan,3,40421.32194733,5.18024222
2019-03-27,China,19,9375215.38301177,0.14145284
2019-03-27,India,18,3150744.48103565,0.39874812
2019-03-27,Myanmar,17,663159.44731143,1.78924695
